provinsi,positif_mei1,positif_mei2,positif_mei3
Jakarta,926,854,757
Jabar,754,672,1292
Riau,377,583,341
Jatim,231,206,215
Babel,200,93,82
Jateng,198,179,531
Kepri,180,145,153
Sumbar,179,270,58
Sumsel,147,130,113
Bali,142,86,105
Kaltim,137,52,84
DIY,128,180,157
Aceh,124,68,56
Kalteng,108,49,74
Bengkulu,102,75,7
Kalbar,98,95,0
Kalsel,88,12,34
Lampung,66,75,95
Jambi,60,78,82
Sumut,59,64,68
Banten,53,55,126
Papbar,32,12,1
NTT,31,252,61
Sulsel,25,4,13
Sulteng,20,14,56
NTB,18,29,129
Kaltara,7,34,18
Sultra,7,0,0
Sulut,6,1,0
Gorontalo,6,0,3
Sulbar,3,22,2
Maluku,0,5,14
Malut,0,0,3
Papua,0,0,0
